timestamp,force_x,force_y,force_z,torque_x, torque_y, torque_z,tibia_x, tibia_y, tibia_z,tibia_qx, tibia_qy, tibia_qz, tibia_qw,femur_x, femur_y, femur_z,femur_qx, femur_qy, femur_qz, femur_qw,knee_x, knee_y, knee_z,knee_qx, knee_qy, knee_qz, knee_qw
1745832307.247264,-3.80083,-5.59219,2.35234,-2.27143,-3.57337,3.64433,-0.0693519,-0.00145834,0.556552,0.116782,0.956218,-0.0912073,0.252369,0.730621,-0.227031,0.700789,0.0465396,0.981096,0.0207193,-0.186695,0.128957,-0.0642265,0.499466,0.116782,0.956218,-0.0912073,0.252369,
1745832307.257160,-4.0656,-5.36085,2.29803,-2.23769,-3.41024,3.35983,-0.0694571,-0.00157705,0.557289,0.115871,0.957649,-0.0883812,0.248338,0.731608,-0.224449,0.698454,0.0875933,0.981382,0.0318525,-0.167934,0.128563,-0.0634397,0.498247,0.115871,0.957649,-0.0883812,0.248338,
1745832307.267256,-3.82252,-5.61286,2.42589,-2.30884,-3.57333,3.70611,-0.0693545,-0.00174866,0.557036,0.116517,0.957274,-0.0847788,0.250726,0.73058,-0.227011,0.700718,0.04648,0.981143,0.0204022,-0.186501,0.129055,-0.0630481,0.498719,0.116517,0.957274,-0.0847788,0.250726,
1745832307.277231,-3.76604,-5.63549,2.3323,-2.29698,-3.55676,3.68095,-0.069339,-0.00149594,0.556573,0.117059,0.956202,-0.0908619,0.252425,0.730575,-0.227012,0.700716,0.046476,0.981145,0.0203807,-0.186492,0.128962,-0.0642885,0.499487,0.117059,0.956202,-0.0908619,0.252425,
1745832307.287262,-3.79854,-5.61143,2.40872,-2.31347,-3.55644,3.70206,-0.0693549,-0.00174636,0.557039,0.116517,0.95727,-0.0847728,0.250741,0.730621,-0.227035,0.700787,0.0465413,0.981096,0.0207495,-0.186693,0.129057,-0.0630444,0.498728,0.116517,0.95727,-0.0847728,0.250741,
1745832307.297234,-3.79168,-5.63236,2.36594,-2.29133,-3.56961,3.67609,-0.0693343,-0.00149054,0.556576,0.117029,0.956202,-0.0909122,0.252421,0.730565,-0.227017,0.700729,0.0465571,0.981159,0.0206118,-0.186371,0.128967,-0.0642831,0.499491,0.117029,0.956202,-0.0909122,0.252421,
1745832307.307147,-4.04557,-5.47955,2.33353,-2.24347,-3.43476,3.46838,-0.0693601,-0.00146128,0.556542,0.116807,0.956189,-0.091246,0.252455,0.731727,-0.225114,0.698148,0.0817222,0.982203,0.0289825,-0.166611,0.128955,-0.0642458,0.499496,0.116807,0.956189,-0.091246,0.252455,
1745832307.317138,-3.77348,-5.61845,2.34734,-2.28897,-3.55764,3.66543,-0.0693363,-0.00149217,0.55658,0.117052,0.956209,-0.0909129,0.252383,0.730624,-0.227034,0.700787,0.0465065,0.981109,0.0206975,-0.18664,0.128958,-0.0642934,0.49948,0.117052,0.956209,-0.0909129,0.252383,
1745832307.327172,-4.08107,-5.43923,2.3555,-2.22784,-3.43275,3.43028,-0.0693601,-0.00146136,0.556545,0.116759,0.956203,-0.0911967,0.252441,0.731705,-0.224811,0.698349,0.0842516,0.982177,0.0292481,-0.16545,0.128961,-0.0642185,0.499488,0.116759,0.956203,-0.0911967,0.252441,
1745832307.337209,-4.10054,-5.42522,2.33831,-2.22559,-3.4388,3.41463,-0.0693602,-0.00146354,0.556542,0.11679,0.956202,-0.0911831,0.252434,0.731804,-0.224851,0.698121,0.0856631,0.982075,0.0295983,-0.165271,0.128957,-0.0642286,0.499482,0.11679,0.956202,-0.0911831,0.252434,
1745832307.347275,-3.78507,-5.65687,2.35518,-2.30453,-3.57047,3.69322,-0.0693342,-0.00148918,0.556569,0.117098,0.956185,-0.0908518,0.252477,0.730569,-0.227012,0.700733,0.0465482,0.981161,0.0206115,-0.186365,0.128969,-0.0642931,0.499504,0.117098,0.956185,-0.0908518,0.252477,
1745832307.357158,-3.75099,-5.58802,2.33227,-2.27754,-3.54024,3.63987,-0.0693615,-0.00146264,0.556537,0.116808,0.956187,-0.0911437,0.252497,0.730559,-0.226999,0.70067,0.0458564,0.980985,0.0210498,-0.187409,0.128963,-0.0642252,0.499501,0.116808,0.956187,-0.0911437,0.252497,
1745832307.367218,-3.74569,-5.64345,2.35357,-2.30088,-3.54692,3.68711,-0.0694394,-0.00148677,0.556799,0.116814,0.956722,-0.0911163,0.250468,0.730567,-0.227022,0.700727,0.046554,0.981165,0.0205558,-0.186349,0.128632,-0.0642617,0.498902,0.116814,0.956722,-0.0911163,0.250468,
1745832307.377218,-3.79224,-5.61165,2.33532,-2.27937,-3.57254,3.6611,-0.0693577,-0.00146176,0.556534,0.116766,0.956178,-0.0912458,0.252515,0.730582,-0.227016,0.700713,0.0464111,0.981139,0.020407,-0.186536,0.128969,-0.0642313,0.499513,0.116766,0.956178,-0.0912458,0.252515,
1745832307.387168,-3.7649,-5.60452,2.30936,-2.2856,-3.56018,3.64702,-0.0693329,-0.00148738,0.556576,0.117056,0.95621,-0.0908273,0.252411,0.730605,-0.227017,0.700742,0.0459774,0.98092,0.0214023,-0.18768,0.128968,-0.0642713,0.499481,0.117056,0.95621,-0.0908273,0.252411,
